Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
2098,00:01:23.920,2.9533564814814817,1.3622395833333334,3.411892361111111,4.0859375
2099,00:01:23.960,2.9519560185185187,1.2310416666666666,3.738263888888889,3.8865625
2100,00:01:24.000,3.047673611111111,1.2618229166666666,3.941284722222222,3.9399131944444443
2101,00:01:24.040,4.78494212962963,1.7778819444444445,6.66203125,5.914913194444445
2102,00:01:24.080,3.8630671296296293,1.6808854166666667,4.85421875,5.0540972222222225
2103,00:01:24.120,3.9598900462962963,1.5402256944444443,5.529149305555555,4.810295138888889
2104,00:01:24.160,4.735549768518519,1.716857638888889,7.1409722222222225,5.348819444444445
2105,00:01:24.200,5.607384259259259,1.939982638888889,8.738246527777777,6.143923611111111
2106,00:01:24.240,10.598831018518519,3.0234027777777777,16.959479166666668,11.813611111111111
2107,00:01:24.280,10.166493055555556,3.048559027777778,16.493333333333332,10.957586805555556
2108,00:01:24.320,12.96421875,3.8648611111111113,21.092916666666667,13.934878472222222
2109,00:01:24.360,17.42584490740741,4.831041666666667,28.532274305555557,18.91421875
2110,00:01:24.400,23.432158564814813,6.174427083333334,37.712986111111114,26.4090625
2111,00:01:24.440,34.22157986111111,7.524861111111111,57.06803819444445,38.07184027777778
2112,00:01:24.480,76.71186921296295,65.71008680555556,85.79515625,78.63036458333333
2113,00:01:24.520,13.602372685185186,12.854270833333333,3.7510243055555557,24.201822916666668
2114,00:01:24.560,14.130052083333334,13.371822916666666,3.6200868055555557,25.39824652777778
2115,00:01:24.600,25.492430555555554,25.80291666666667,5.586319444444444,45.088055555555556
2116,00:01:24.640,28.794537037037042,27.425920138888888,5.860225694444445,53.09746527777778
2117,00:01:24.680,17.243564814814814,15.030434027777778,4.1903125,32.50994791666667
2118,00:01:24.720,18.742233796296293,16.373524305555556,4.555486111111111,35.29769097222222
2119,00:01:24.760,20.507372685185185,17.491041666666668,5.1267708333333335,38.90430555555555
2120,00:01:24.800,20.05357638888889,16.54189236111111,5.652760416666666,37.96607638888889
2121,00:01:24.840,26.318298611111114,20.21,8.257777777777777,50.487118055555555
2122,00:01:24.880,22.333530092592596,16.41170138888889,7.398923611111111,43.18996527777778
2123,00:01:24.920,22.555943287037035,16.044114583333332,8.020277777777778,43.6034375
2124,00:01:24.960,22.52671296296296,15.94109375,8.5603125,43.07873263888889
2125,00:01:25.000,22.78233796296296,15.890503472222223,8.898246527777777,43.55826388888889
2126,00:01:25.040,25.97820601851852,17.309288194444445,10.834149305555556,49.791180555555556
2127,00:01:25.080,20.231186342592594,12.71689236111111,9.014756944444445,38.961909722222224
2128,00:01:25.120,18.878489583333334,11.525277777777777,8.725434027777778,36.38475694444445
2129,00:01:25.160,17.76560185185185,10.536440972222222,8.58576388888889,34.17460069444444
2130,00:01:25.200,16.805515046296296,9.927291666666667,8.426979166666667,32.062274305555555
2131,00:01:25.240,20.775086805555556,12.680434027777778,10.292309027777778,39.35251736111111
2132,00:01:25.280,15.689473379629632,9.07484375,8.392274305555556,29.601302083333334
